name,product_id,sku,brand,price_current,price_old,discount_amount,installment,category,url,image_url,page
iPad Pro 11-inch (M5) Wi-Fi 256 GB SG Space Black,115937,TM-DG-TBQ-1105-TB-0804,,2.449.99,2.899.99,450.00,0% 6 ay,Planşetlər,https://mgstore.az/ipad-11-inch-m5-pro-wi-fi-256-gb-space-black,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0804_1.png,2
HONOR Pad X7 LTE 4/128 GB Gray,115935,TM-DG-TBQ-1105-TB-0797,,219.99,269.99,50.00,0% 6 ay,Planşetlər,https://mgstore.az/honor-pad-x7-lte-4-128gb-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0797_1.png,2
Samsung Galaxy Tab A11 (SM-X135) LTE 8/128 GB Gray,115295,TM-DG-TBQ-1105-TB-0784,,339.99,419.99,80.00,0% 6 ay,Planşetlər,https://mgstore.az/samsung-galaxy-tab-a11-sm-x135-lte-8-128-gb-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0784_1.png,2
Samsung Galaxy Tab A11 (SM-X130) 8/128 GB Gray,115294,TM-DG-TBQ-1105-TB-0780,,269.99,349.99,80.00,0% 6 ay,Planşetlər,https://mgstore.az/samsung-galaxy-tab-a11-sm-x130-8-128-gb-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0780_1.png,2
HONOR Pad 10 Wi-Fi 8/128 GB Gray,114044,TM-DG-TBQ-1105-TB-0792,,,509.99,140.00,0% 6 ay,Planşetlər,https://mgstore.az/honor-pad-10-wi-fi-8-128-gb-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0792_1.png,2
HONOR Pad 10 5G 8/256 GB W/Keyboard Gray,114042,TM-DG-TBQ-1105-TB-0790,,,749.99,200.00,0% 6 ay,Planşetlər,https://mgstore.az/honor-pad-10-5g-8-256-gb-w-keyboard-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0790_1.png,2
Samsung Galaxy Tab S11 Ultra (SM-X936) 12/256 GB Gray,114041,TM-DG-TBQ-1105-TB-0778,,2.649.99,2.999.99,350.00,0% 12 ay,Planşetlər,https://mgstore.az/samsung-galaxy-tab-s11-ultra-sm-x936-12-256-gb-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0778_1.png,2
Samsung Galaxy Tab S11 (SM-X736) 12/128 GB Gray,114040,TM-DG-TBQ-1105-TB-0777,,1.799.99,2.049.99,250.00,0% 12 ay,Planşetlər,https://mgstore.az/samsung-galaxy-tab-s11-sm-x736-12-128-gb-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0777_1.png,2
HUAWEI MatePad 11.5 Wi-Fi 8/128 GB Gray,114039,TM-DG-TBQ-1105-TB-0774,,549.99,649.99,100.00,0% 6 ay,Planşetlər,https://mgstore.az/huawei-matepad-11-5-wi-fi-8-128-gb-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0774_1_1-3a7c14e3.webp,2
HUAWEI MatePad 11.5 8/128 GB with Keyboard Gray,114038,TM-DG-TBQ-1105-TB-0773,,649.99,799.99,150.00,0% 6 ay,Planşetlər,https://mgstore.az/huawei-matepad-11-5-8-128-gb-with-keyboard-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0773_2_1-55a86ce5.webp,2
Samsung Galaxy Tab S10 Lite (SM-X400) 6/128 GB Silver,113313,TM-DG-TBQ-1105-TB-0776,,659.99,799.99,140.00,0% 6 ay,Planşetlər,https://mgstore.az/samsung-galaxy-tab-s10-lite-sm-x400-6-128-gb-silver,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0776_1.png,2
Samsung Galaxy Tab S10 Lite (SM-X400) 6/128 GB Gray,113312,TM-DG-TBQ-1105-TB-0775,,659.99,799.99,140.00,0% 6 ay,Planşetlər,https://mgstore.az/samsung-galaxy-tab-s10-lite-sm-x400-6-128-gb-gray,https://mgstore.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0775_1.png,2
